Frame,Time,Head / localX,Head / localY,Head / localZ,Head / localDistChanged,Head / local ThetaX,Head / local ThetaY,Head / local ThetaZ,Right Arm / localX,Right Arm / localY,Right Arm / localZ,Right Arm / localDistChanged,Right Arm / local ThetaX,Right Arm / local ThetaY,Right Arm / local ThetaZ,Left Arm / localX,Left Arm / localY,Left Arm / localZ,Left Arm / localDistChanged,Left Arm / local ThetaX,Left Arm / local ThetaY,Left Arm / local ThetaZ
Frame 53,00:00:02:208333:53f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,37.23850554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 54,00:00:02:250000:54f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,42.71910056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 55,00:00:02:291666:55f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,48.3172602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 56,00:00:02:333333:56f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,53.96712097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 57,00:00:02:375000:57f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,59.60555824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 58,00:00:02:416666:58f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,65.17453249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 59,00:00:02:458333:59f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,70.62311782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 60,00:00:02:500000:60f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,75.90862556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 61,00:00:02:541666:61f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,80.99734872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 62,00:00:02:583333:62f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,85.86426832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 63,00:00:02:625000:63f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,90.49275967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 64,00:00:02:666666:64f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,94.87329466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 65,00:00:02:708333:65f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,99.00267677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 66,00:00:02:750000:66f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,102.88259305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 67,00:00:02:791666:67f,0.0,0.0,0.0,0.0,0.0,22.61986361,0.0,0.0,0.0,0.0,0.0,0.0,106.51863059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
